data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
-0.0662086009979248,0.43460342288017273,-0.3457459807395935,0.2345016598701477,29,,2459,0.7762452363967896,0.45931845903396606,,,,,,,,,
,,,,,0.00038473929283776553,2460,,,,,,,,,,,
,,,,30,,2541,,,0.7194444537162781,0.7194444537162781,0.7194444537162781,0.43888887763023376,0.7536585330963135,0.5835238099098206,0.6717391014099121,0.8583333492279053,0.7897839546203613
-0.0662652850151062,0.43212851881980896,-0.34528669714927673,0.2332274466753006,30,,2541,0.7840996384620667,0.4526134133338928,,,,,,,,,
,,,,,0.00038158858824443177,2542,,,,,,,,,,,
,,,,31,,2623,,,0.7027778029441833,0.7027778029441833,0.7027778029441833,0.4055555462837219,0.70923912525177,0.5641462206840515,0.6941489577293396,0.7250000238418579,0.7861342430114746
-0.06639193743467331,0.43098098039627075,-0.34616875648498535,0.2324514389038086,31,,2623,0.7760536670684814,0.46215811371803284,,,,,,,,,
,,,,,0.0003781578884433705,2624,,,,,,,,,,,
,,,,32,,2705,,,0.7138888835906982,0.7138888835906982,0.7138888835906982,0.4277777671813965,0.7529975771903992,0.5914785265922546,0.6624472737312317,0.8722222447395325,0.7906790375709534
-0.06676825135946274,0.4278945028781891,-0.3452315032482147,0.23111914098262787,32,,2705,0.7839080691337585,0.4534159004688263,,,,,,,,,
,,,,,0.000374452483325013,2706,,,,,,,,,,,
,,,,33,,2787,,,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.44999998807907104,0.7401574850082397,0.5604647994041443,0.7014925479888916,0.7833333611488342,0.7924151420593262
-0.06675562262535095,0.4263462424278259,-0.3453488051891327,0.23038755357265472,33,,2787,0.7800766229629517,0.4519810974597931,,,,,,,,,
,,,,,0.00037047808635547847,2788,,,,,,,,,,,
,,,,34,,2869,,,0.7277777791023254,0.7277777791023254,0.7277777791023254,0.4555555582046509,0.7592137455940247,0.5767529010772705,0.6806167364120483,0.8583333492279053,0.7923727035522461
-0.06633637845516205,0.42756301164627075,-0.34503692388534546,0.22999057173728943,34,,2869,0.782567024230957,0.4499393403530121,,,,,,,,,
,,,,,0.0003662408257668241,2870,,,,,,,,,,,
,,,,35,,2951,,,0.7277777791023254,0.7277777791023254,0.7277777791023254,0.4555555582046509,0.7537688612937927,0.5725684762001038,0.6880733966827393,0.8333333134651184,0.7909644842147827
-0.06583321839570999,0.42644408345222473,-0.3445241451263428,0.22904132306575775,35,,2951,0.7850574851036072,0.4460609257221222,,,,,,,,,
,,,,,0.00036174723510775465,2952,,,,,,,,,,,
,,,,36,,3033,,,0.7277777791023254,0.7277777791023254,0.7277777791023254,0.4555555582046509,0.7603911757469177,0.5867718458175659,0.6790392994880676,0.8638888597488403,0.788209855556488
-0.06529765576124191,0.42710745334625244,-0.34388938546180725,0.2285999059677124,36,,3033,0.7785440683364868,0.4521932303905487,,,,,,,,,
,,,,,0.00035700424316936454,3034,,,,,,,,,,,
,,,,37,,3115,,,0.6902777552604675,0.6902777552604675,0.6902777552604675,0.38055557012557983,0.7513935565948486,0.6612637042999268,0.6275604963302612,0.9361110925674438,0.7869753241539001
