data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,45,,3771,,,0.6486111283302307,0.6486111283302307,0.6486111283302307,0.29722222685813904,0.714124321937561,0.6540888547897339,0.6019047498703003,0.8777777552604675,0.724699079990387
0.02376493811607361,0.3279813230037689,-0.2115175426006317,0.1862136274576187,45,,3771,0.7015325427055359,0.5591447353363037,,,,,,,,,
,,,,,0.0003044184171909589,3772,,,,,,,,,,,
,,,,46,,3853,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7072330713272095,0.6455567479133606,0.6027397513389587,0.855555534362793,0.7279938459396362
0.023397324606776237,0.3263656795024872,-0.212752565741539,0.18677188456058502,46,,3853,0.7051724195480347,0.5637028217315674,,,,,,,,,
,,,,,0.00029764107863580573,3854,,,,,,,,,,,
,,,,47,,3935,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7024503946304321,0.6398810744285583,0.6056337952613831,0.8361111283302307,0.725609540939331
0.022614099085330963,0.32324180006980896,-0.21310754120349884,0.18589062988758087,47,,3935,0.7095785737037659,0.5599385499954224,,,,,,,,,
,,,,,0.00029071318584810476,3936,,,,,,,,,,,
,,,,48,,4017,,,0.6638888716697693,0.6638888716697693,0.6638888716697693,0.32777777314186096,0.7091346383094788,0.6291449069976807,0.625,0.8194444179534912,0.7278240919113159
0.02252228744328022,0.32150888442993164,-0.21307536959648132,0.1860695779323578,48,,4017,0.6957854628562927,0.560350239276886,,,,,,,,,
,,,,,0.0002836454211363909,4018,,,,,,,,,,,
,,,,49,,4099,,,0.6555555462837219,0.6541666388511658,0.6541666388511658,0.3083333373069763,0.7067137956619263,0.6367027163505554,0.6134969592094421,0.8333333134651184,0.7271913290023804
0.023417003452777863,0.32223308086395264,-0.2107008397579193,0.18548177182674408,49,,4099,0.704023003578186,0.5608227252960205,,,,,,,,,
,,,,,0.00027644868248156783,4100,,,,,,,,,,,
,,,,50,,4181,,,0.6333333253860474,0.6319444179534912,0.6319444179534912,0.2638888955116272,0.7078279852867126,0.6728970408439636,0.5868372917175293,0.8916666507720947,0.7276389002799988
0.02270873822271824,0.31910693645477295,-0.21035118401050568,0.18487048149108887,50,,4181,0.7051724195480347,0.5595067739486694,,,,,,,,,
,,,,,0.00026913406673301124,4182,,,,,,,,,,,
,,,,51,,4263,,,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.7080292105674744,0.6236903071403503,0.6298701167106628,0.8083333373069763,0.7293210029602051
0.021845370531082153,0.3156861662864685,-0.2127784639596939,0.18459445238113403,51,,4263,0.7032567262649536,0.5620641112327576,,,,,,,,,
,,,,,0.0002617128524980314,4264,,,,,,,,,,,
,,,,52,,4345,,,0.6555555462837219,0.6555555462837219,0.6555555462837219,0.31111112236976624,0.7047619223594666,0.6336185932159424,0.6166666746139526,0.8222222328186035,0.7274922728538513
0.022519003599882126,0.31607550382614136,-0.2110895961523056,0.18457630276679993,52,,4345,0.7126436829566956,0.5585311055183411,,,,,,,,,
,,,,,0.0002541964827510784,4346,,,,,,,,,,,
,,,,53,,4427,,,0.6361111402511597,0.6361111402511597,0.6361111402511597,0.27222222089767456,0.7022727131843567,0.6586366295814514,0.5942307710647583,0.8583333492279053,0.7215895056724548
0.022405104711651802,0.31490007042884827,-0.211130753159523,0.18447284400463104,53,,4427,0.7063218355178833,0.5603739619255066,,,,,,,,,
,,,,,0.0002465965471895048,4428,,,,,,,,,,,
,,,,54,,4509,,,0.6472222208976746,0.6472222208976746,0.6472222208976746,0.2944444417953491,0.7073732614517212,0.6487286686897278,0.6043307185173035,0.8527777791023254,0.7234259247779846
